gene,log2FC,pval,padj
ENSG00000140853.15,0.8674833411394385,6.542704161948685e-08,0.0007516258541246649
ENSG00000168394.11,0.8382207658394125,8.82202878447786e-08,0.0010134746667608166
ENSG00000162654.8,0.9299416260721243,1.8040001799042023e-07,0.0020724354066739476
ENSG00000117228.9,1.0675385851684944,4.988130578030492e-07,0.00573036440804143
ENSG00000178803.10,-1.8077170641778926,8.671251123459377e-07,0.009961533290630133
ENSG00000124253.10,-1.0453906461367852,9.135380174424227e-07,0.010494724744378552
ENSG00000160868.14,-1.2191727421800271,1.8317493024142636e-06,0.02104313598613506
ENSG00000002549.12,0.6985314568273027,3.0925496857432047e-06,0.03552721078981794
ENSG00000177409.11,0.7817961300561906,3.8399638961819825e-06,0.044113505239338616
ENSG00000173193.13,0.5346598800399187,3.978092982420823e-06,0.04570033218205042
ENSG00000221963.5,0.48777392778572803,4.348507783103506e-06,0.049955657412293075
ENSG00000023445.13,0.8685411753181103,4.871807952869589e-06,0.05596732976256584
ENSG00000273217.1,-0.3089516921673905,5.441122371702921e-06,0.06250761380612316
ENSG00000187720.14,-0.7979816970727587,5.4625578311041275e-06,0.06275386436372421
ENSG00000138496.16,0.7811731694382806,5.490215383011476e-06,0.06307159432003584
ENSG00000114796.15,-0.4312863384093433,5.6443443226685326e-06,0.06484222757881611
ENSG00000008517.16,0.6923154985769604,6.286131271620352e-06,0.0722150760483746
ENSG00000117054.13,-0.49670925490624285,6.313192999563595e-06,0.07252596117898658
ENSG00000189337.16,-0.8160681041326088,6.366952774923406e-06,0.07314355347832009
ENSG00000111371.15,0.4120577459951038,6.546171997750385e-06,0.07520242391015643
ENSG00000131781.12,-0.5922100750621615,6.770864744449122e-06,0.07778369418423152
ENSG00000115415.18,0.8425085065217406,7.156269884982428e-06,0.08221122843867813
ENSG00000136872.17,-0.6901001431746865,7.742762912782763e-06,0.08894886034204838
ENSG00000096968.13,0.413815689844264,8.32340930875743e-06,0.09561932613900535
ENSG00000151276.23,-0.3062018704972935,8.538753190780319e-06,0.0980931966556843
ENSG00000148730.6,-0.4471068655728647,9.502874136545776e-06,0.10916901808063788
ENSG00000134326.11,0.756671004704276,9.983498512766175e-06,0.11469043091465782
ENSG00000138182.14,0.5629662190128668,1.0430411132122394e-05,0.11982456308582207
ENSG00000123416.15,0.4986435714049682,1.0701708703397188e-05,0.12294122958462689
ENSG00000138669.9,-0.8353138212835862,1.0917144701755372e-05,0.1254161583337657
ENSG00000106070.18,-0.5727694361539708,1.1683253945727397e-05,0.13421722132851632
ENSG00000106853.18,-0.6265350013241466,1.1945058618904749e-05,0.13722483341397776
ENSG00000142949.16,-0.36193929643082257,1.2131995068438115e-05,0.13937235934621708
ENSG00000114268.11,-0.5946463766474084,1.2380871136249205e-05,0.14223144761323087
ENSG00000137628.16,0.5290383693802934,1.3514128193511431e-05,0.15525030468705933
ENSG00000167004.12,0.3641029305263359,1.5555783635627128e-05,0.17870484240608445
ENSG00000158258.16,-1.0201131496971927,1.63305399020908e-05,0.1876052423952191
ENSG00000140105.17,0.763486765781614,1.9384680442015002e-05,0.22269120891786834
ENSG00000121310.16,-0.3812747882880334,1.9411324992546337e-05,0.22299730151437233
ENSG00000143870.12,0.4590609195834414,2.126239181019128e-05,0.24426235711547742
ENSG00000233008.5,-0.4673382215301851,2.5632910192215188e-05,0.2944708722881681
ENSG00000169903.6,-0.913284166744158,2.747026397646775e-05,0.3155783925616615
ENSG00000216490.3,0.8672432551436513,2.8781825191278824e-05,0.33064560779741115
ENSG00000184304.14,-0.6664207734250418,2.987494545794209e-05,0.34320337342083873
ENSG00000145685.13,-0.2918678518687594,3.092665114880009e-05,0.3552853683974154
ENSG00000213886.3,1.739134404098486,3.4017786811026756e-05,0.39079633488507537
ENSG00000086061.15,0.4986268508919016,3.48250416722313e-05,0.40007007873059314
ENSG00000188517.15,-1.2684458333199493,3.545033023446376e-05,0.40725339373351965
ENSG00000105784.15,-0.6865832414530995,3.804104755614472e-05,0.43701555432499056
ENSG00000131373.14,-0.49879814725126526,3.890092636253338e-05,0.44689384205278343
ENSG00000185345.19,-0.39381299174109863,4.002567007381768e-05,0.4598148978080175
ENSG00000007171.17,1.3004943760483831,4.0731906594595714e-05,0.46792814295871554
ENSG00000127914.16,-0.2051848837029917,4.128801581838885e-05,0.4743167257216511
ENSG00000117399.13,1.3094235907909109,4.298715434841655e-05,0.4938364291546093
ENSG00000047230.14,-0.3244346628196153,4.456814994806712e-05,0.5119989066033951
ENSG00000242593.5,-0.7880271893068138,4.503756601189806e-05,0.5173915583446849
ENSG00000135917.14,-0.718397650570942,4.542880178479452e-05,0.5218860749037195
ENSG00000184903.9,-0.226682603625183,4.766593548147177e-05,0.5475862668111477
ENSG00000198189.10,-0.42127043371599004,5.155111624469852e-05,0.5922192234190966
ENSG00000148154.9,-0.2662805800311103,5.247301570592657e-05,0.6028100044296844
ENSG00000118137.9,-1.1617414820821343,5.37178905042881e-05,0.6171111261132617
ENSG00000236532.5,-0.704038632073217,5.381474194049539e-05,0.618223755412411
ENSG00000151240.16,-0.2779714338500794,5.424672694931599e-05,0.6231863991937421
ENSG00000084674.14,-0.7738122016362308,5.4453783000598456e-05,0.6255650591108751
ENSG00000101361.16,0.49624707203537355,5.538572849316539e-05,0.636271248929484
ENSG00000112299.7,-0.7025609724507875,5.9293905160460626e-05,0.6811683824833716
ENSG00000188153.13,-0.5645433829876416,6.0365244779165825e-05,0.693475932023057
ENSG00000004139.13,-0.6240527582825703,6.311559919202053e-05,0.7250720035179318
ENSG00000072657.8,-0.7214009820848641,6.341992951168081e-05,0.7285681502301892
ENSG00000151150.21,-0.24952698177877064,6.669140239263512e-05,0.7661508306865923
ENSG00000167644.11,-0.6034334788193201,6.98706571981629e-05,0.8026741098924953
ENSG00000161533.11,-0.3936520430304782,7.355777208877406e-05,0.8450316857558364
ENSG00000088386.16,-0.5901860394922629,7.666005025949282e-05,0.8806706573810534
ENSG00000106258.14,-0.5137477252616698,7.671157209127024e-05,0.8812625401845124
ENSG00000132561.13,-0.4989543167086792,8.422793495063264e-05,0.9676105167128678
ENSG00000231969.1,-0.4683764088468374,8.47226941459762e-05,0.9732943103489746
ENSG00000171103.10,-0.5404999707557891,8.959035434753808e-05,1.0292139907445175
ENSG00000146411.5,-0.8443991286972765,9.071120532439264e-05,1.0420903267666226
ENSG00000075239.13,-0.4618534818366573,9.361850484710578e-05,1.0754893836835513
ENSG00000065154.11,-0.4562170504927545,9.814023311128298e-05,1.127434997982419
ENSG00000066248.14,-0.34465424975060266,9.964927630503522e-05,1.1447708861922445
ENSG00000173821.19,0.22280994051725944,0.00010172022464707614,1.1685619407456107
ENSG00000137486.16,-0.3597883479798778,0.00010181248446827282,1.1696218215715182
ENSG00000185630.18,-0.3747392539781762,0.00010315757746608435,1.185074249930377
ENSG00000120438.11,0.37147032740424235,0.00010972664552728341,1.260539703817432
ENSG00000187097.12,-0.33508721840428546,0.00011271855717321077,1.2949107848058452
ENSG00000108576.9,-0.7107345269885146,0.00011714275847593494,1.3457360093715407
ENSG00000133106.14,0.4159211079602345,0.00012369122318029775,1.4209647718952605
ENSG00000108424.9,0.3288403156313766,0.00013061618929406627,1.5005187826102333
ENSG00000092853.13,0.6206415627517448,0.00013081892030990046,1.5028477565201366
ENSG00000132963.7,0.3816961580460543,0.00013976593231575628,1.6056310304434083
ENSG00000092199.17,0.19934758539397368,0.00014483797426004418,1.6638986482993876
ENSG00000196141.13,0.2116043818976152,0.0001531699437902863,1.759616314262809
ENSG00000166295.8,-0.22618531934835762,0.00015549591186433273,1.7863370354974544
ENSG00000259347.6,-0.7295487145818109,0.00015941339892830626,1.8313411268883824
ENSG00000166959.7,-0.5805945346521124,0.0001644566733618825,1.8892782635813061
ENSG00000168016.14,-0.3943311186580001,0.0001646404125989244,1.8913890599364436
ENSG00000255367.3,-0.6078264817566943,0.00016676399457591455,1.9157847696881063
ENSG00000254087.7,0.23494331678314495,0.00017755200996102035,2.039717490432202
ENSG00000138640.14,-0.3941227788479269,0.00018672236590510155,2.145066539517807
ENSG00000144407.9,-0.9632732256200587,0.0001895054243533986,2.1770383149718433
ENSG00000092421.16,-0.35117937428954527,0.00018970466415367825,2.1793271817974555
ENSG00000181722.16,-0.24290724704620015,0.00019523424581785584,2.242851015955528
ENSG00000231877.1,-1.4075033783219142,0.00019555501164900257,2.2465359738237414
ENSG00000101577.9,-0.36650721478918946,0.00020092071251882635,2.308177145416277
ENSG00000162645.12,0.4567924742153977,0.0002159736469146357,2.481105255755335
ENSG00000097021.19,0.4325119300962199,0.0002228554042578805,2.5601628841145314
ENSG00000178573.6,-0.5064173839257284,0.00022445561524995515,2.578546107991485
ENSG00000107819.13,-0.47905296720886303,0.00022511584059827698,2.586130776793006
ENSG00000023287.12,-0.20365809488581732,0.00022518611027437142,2.586938034831979
ENSG00000255319.5,-0.5689585226902034,0.0002264058316250543,2.600950193708624
ENSG00000127951.6,0.6502748186244767,0.00022697751236939144,2.607517662099569
ENSG00000119121.21,-0.9429737067674351,0.00023061419882227773,2.6492959160703267
ENSG00000148090.11,-0.3146970671230793,0.00023402781215363716,2.688511506020984
ENSG00000102580.14,0.31572718452228976,0.00023491329970337787,2.698683986992405
ENSG00000162949.16,-0.7046326306097965,0.00024075711741207683,2.7658177648299387
ENSG00000065978.18,0.2530886508196568,0.0002441956771348178,2.8053199389247867
ENSG00000241388.5,-0.413223813831892,0.00024525374010940873,2.8174749663768877
ENSG00000065923.9,0.6673299635466798,0.0002484058547084372,2.8536864588905266
ENSG00000076351.12,-0.7016598801725489,0.00024984065058735453,2.870169393947529
ENSG00000179981.10,-0.45047912849565996,0.00025629281846201374,2.9442918984916138
ENSG00000122566.20,0.28819105124977984,0.0002601843287447007,2.9889975686191215
ENSG00000164211.12,0.4785971320925184,0.0002641727199361872,3.0348162066269184
ENSG00000188312.13,0.26421923478989484,0.0002674754810345237,3.0727583261246085
ENSG00000261617.1,-0.7668013093936041,0.0002710577747425395,3.113911716242294
ENSG00000109743.10,-0.5930216810786444,0.00028593796092306204,3.2848552950841365
ENSG00000196188.10,-0.6463367177912178,0.00029211507773494025,3.3558180130189936
ENSG00000139318.7,0.6450936080890162,0.0002952739276573651,3.3921068809278108
ENSG00000080031.9,-0.4028857014980609,0.0002973694153468719,3.4161798435048643
ENSG00000227258.5,-0.910576567110251,0.0003058213262625328,3.513275396103977
ENSG00000139173.9,-0.2567036488433265,0.00030790949058992896,3.537264227897104
