Sample_ID,COND,scvi_00,scvi_01,scvi_02,scvi_03,scvi_04,scvi_05,scvi_06,scvi_07,scvi_08,scvi_09,scvi_10,scvi_11,scvi_12,scvi_13,scvi_14,scvi_15,scvi_16,scvi_17,scvi_18,scvi_19,scvi_20,scvi_21,scvi_22,scvi_23,scvi_24,scvi_25,scvi_26,scvi_27,scvi_28,scvi_29
H-37,H,-0.2471486,0.9672773,0.5374583,0.24996205,-0.63421464,-0.16446,-0.37853518,-0.69645894,-0.5069277,-0.18607217,-0.6089565,-0.2694764,0.48290142,-0.15922892,0.36466172,-0.09134979,1.0444632,0.6052343,-0.3099206,0.064932205,-0.12160578,-0.18758646,0.049159274,0.09403165,-0.4985103,-0.6056408,0.34372503,-0.7459599,-0.38398254,-0.26093426
H-4,H,0.2012547,0.8794491,-0.27419814,-0.07398913,-0.6046207,0.17596382,0.5197516,0.44706202,0.72735995,0.12481352,0.2869926,-0.17925748,-0.24444355,0.27844623,-0.076455705,-0.17112835,-0.2484567,0.25528005,0.8154287,0.4453438,-0.63401777,-0.07297937,-0.08897421,0.63289684,-0.5651719,-0.74291074,0.18094209,0.45062205,-0.41404024,-0.3974221
H-40,H,-0.47068214,0.017875314,-0.82905,0.69935757,-0.6302978,0.4469785,-0.32134673,-0.12399651,0.21100809,-0.13866425,-0.3281257,0.0997068,-0.32950363,-0.05578743,0.018310202,0.21154414,-0.8794275,0.3378383,-0.00566169,0.10911772,0.4340391,0.090214506,0.31893122,-0.37632537,-0.058696914,0.17621061,0.4728352,-0.1743301,-0.11336867,-0.27707776
H-43,H,0.09538325,0.29108307,-0.5578785,0.13625576,-0.8776342,0.47437084,-0.15171205,0.24162616,0.016631797,-0.14508024,-0.6772249,-0.34589666,-0.64580834,-0.63361114,-0.11691379,0.046050653,-0.46078268,-0.050559357,0.7378382,0.11648053,-0.045885704,0.13358833,0.34385887,-0.86993104,-0.2700834,1.0011522,-0.12855655,-0.70585054,-0.08595513,0.016126309
H-45,H,-0.53849334,0.37614653,0.05295951,-0.46200538,-1.0391738,-0.26765123,-0.44457865,0.013591155,0.47549656,-0.43970054,-0.20408893,-0.46291155,0.49410063,0.107411414,-0.008814827,-0.14522327,-0.2702592,-0.63045543,-0.40249225,-0.5916591,0.17322662,0.39813194,0.0026699689,0.08996952,1.0383481,-0.17146924,0.43520197,0.1793256,0.3418628,0.5024727
H-49,H,-0.1707585,0.9567618,0.22790588,-0.5973194,-1.131678,-0.7660832,-0.63527936,-0.54887766,-0.040984895,-0.38026884,0.8388682,-0.6667874,0.7492945,-0.5074528,-0.24874397,-0.1342853,0.016473556,0.434004,-0.15397742,0.34273413,-0.49719828,0.184473,1.0804998,0.48984274,-0.4070511,-0.18828079,-0.1800938,-8.107193e-05,-0.2468276,-0.37699375
H-55,H,-0.32548872,0.44924062,-0.22486736,0.028794562,1.5136294,-0.31173715,0.026745053,-0.014094556,-0.45830867,0.037199672,-0.20373255,0.2858991,-0.08946364,0.32656208,0.22138855,0.1827566,0.81442744,-0.18223457,-0.11256001,-0.27635977,-0.3120122,0.10960881,-0.15802693,-0.78065526,0.18912514,0.43418005,0.03732966,-0.15026231,0.0017574419,-0.100306876
H-56,H,0.2814411,-0.39174238,-0.27738702,-0.24140456,-0.2839176,0.20979092,0.80366313,0.677802,0.34460488,0.35324708,-0.48734608,0.3961568,0.14233318,-0.115841776,-0.40147856,-0.14755262,-0.7841235,-0.020463472,0.31257686,-0.19831184,-0.06056314,0.35601535,0.54649824,-0.21299732,0.58250123,1.0006934,-0.076619476,-0.06763416,0.25146937,-0.39554015
H-57,H,-0.03789754,-0.25970143,-0.5166779,-0.8798347,-1.1189792,0.36887616,-0.4783401,0.1647701,0.870052,-0.65984327,1.3400859,-0.053188708,-0.1312059,0.44244638,0.5504401,-0.23178338,0.0027057664,-0.42779335,-0.9327683,-0.36466637,-0.6685742,0.47982097,-0.124073416,0.27513593,0.31596717,0.23716326,0.2835415,0.8769437,-0.32896537,0.41967008
H-59,H,-0.030729141,0.35431212,-0.33560634,-0.49697068,-1.2809685,0.75801986,0.29981843,0.8642749,0.7829333,-0.052695993,0.0436366,0.25143868,0.10958804,-0.2598231,0.3647415,0.057345856,-0.2571908,-0.3022804,0.2840929,-0.6206813,-0.13779016,0.08255196,0.24538238,0.1677781,0.53704816,0.46121857,-0.030100815,-0.29283988,-0.33858192,0.100416444
H-61,H,0.08791285,-0.9670914,0.15779507,-0.6655165,-0.76204175,-0.9622513,0.10914896,-0.43148443,0.3186168,0.09624788,0.54519516,-0.66888076,-0.35895357,-0.35454684,-0.068994835,-0.78716904,0.20898286,-0.58157897,-1.037872,-0.11791292,-0.37516272,0.04000909,-0.27366993,-0.58690697,0.36493102,0.43162653,0.44882262,0.30553615,0.075016215,0.36793962
H-62,H,-0.9424376,-1.1734395,-0.57966167,-0.8826265,-0.68027645,-0.03987491,0.35691422,0.37992072,0.7202748,-0.21994446,1.3573071,-0.021850627,0.0705358,0.22094034,-0.056944586,-0.08678905,-0.15594292,-0.486836,0.4835172,0.27623147,-0.023489095,0.6215481,0.82047737,0.31927618,0.89585096,-0.42186025,0.36955348,-0.23166853,-0.5092957,0.19136578
H-63,H,0.78989327,-0.74939674,0.28853878,-0.8976844,-0.6499779,-1.335937,0.29942805,-0.10891124,0.86171067,-0.5683535,0.585409,-0.48577875,-0.20173573,-0.75677645,-0.26724088,-0.56172454,0.47747388,-0.2855381,-0.2404847,-0.42804024,-0.2530641,0.16203187,-0.03185853,-0.45769987,-0.12440443,0.5463082,-0.22432162,-0.008501925,-0.24381734,0.23491557
