Sample_ID,COND,scvi_00,scvi_01,scvi_02,scvi_03,scvi_04,scvi_05,scvi_06,scvi_07,scvi_08,scvi_09,scvi_10,scvi_11,scvi_12,scvi_13,scvi_14,scvi_15,scvi_16,scvi_17,scvi_18,scvi_19,scvi_20,scvi_21,scvi_22,scvi_23,scvi_24,scvi_25,scvi_26,scvi_27,scvi_28,scvi_29,subtype
T1D-137,T1D,0.45767114,0.15278721,-0.5224026,0.2946202,0.6391686,-0.03806091,0.105121136,0.6094382,0.21018526,-0.20932238,0.018180614,0.6600116,-0.18549666,-0.6113097,0.09809309,0.20076142,-0.14546594,0.29577413,0.82535094,-0.042165726,-0.25490063,-0.19077678,0.20439206,0.12855442,-0.020743828,-0.1981983,-0.160661,-0.11422383,-0.99381274,-0.47120228,Subtype_1
T1D-139,T1D,0.42356372,0.14637959,-0.58807594,0.12828694,0.5428937,0.13151066,0.15571102,0.455865,0.46022722,0.0951908,-0.26089448,-0.26782522,-0.10231924,-0.4348537,0.24353383,-0.12086703,-0.33735847,0.21287239,1.0907836,-0.045136314,-0.19191147,-0.0884952,0.19902031,0.16922009,-0.14930819,-0.09541202,-0.048925057,0.25274095,-0.9124918,-0.24191101,Subtype_1
T1D-14,T1D,-0.43337074,0.29630738,-0.12751937,-0.42756867,-0.97177184,0.56389004,0.38222572,0.6974398,0.8626555,0.19789809,0.038341004,0.21403173,0.13888289,0.09946749,0.21382788,0.28454262,-0.05831365,-0.098793834,0.4615769,-0.459419,0.23159665,0.011668446,-0.008986239,-0.070218936,0.62932664,0.07178857,0.12700659,-0.33816695,-0.0004761113,0.40189427,Subtype_1
T1D-140,T1D,-0.17250395,0.341105,-0.7241511,0.09340619,-0.07759139,0.68489534,1.2510998,0.24359687,-0.07752494,-0.15245362,0.8696644,0.46455684,-0.2822867,0.45170692,0.81314284,-0.118126325,0.19991782,-0.3197949,0.7950852,0.4859987,-0.2390972,0.25210184,0.17426701,0.6552711,0.29275423,-0.883587,-0.50869554,0.012770112,-0.42689195,-0.42410102,Subtype_1
T1D-141,T1D,-0.7084618,0.17289157,0.29649356,0.13028799,1.5112933,-0.5586629,-0.73183835,-0.31524208,-0.012508238,0.13353524,-0.13149142,0.4314011,-0.036942765,0.45417643,-0.0076152687,0.056754276,0.79448515,-0.6924013,-0.2911656,-0.1516031,-0.55586576,-0.09392194,0.43947917,-0.07971921,0.31354412,0.0033711083,-0.06976556,-0.80876005,-0.056145087,0.17376496,Subtype_3
T1D-142,T1D,-0.2191178,0.30567086,-0.55900437,-0.1676336,0.7635246,0.24146679,0.19002351,0.69017273,-0.98896825,-0.12339878,-0.59827006,-0.34961617,0.31947353,-0.17007823,0.07615145,-0.16182452,-0.49125776,0.13496584,-0.03857593,-0.6092278,-0.116965614,-0.44471246,-0.23340525,-0.1799099,-0.044373527,0.34331775,0.10011948,-0.37075287,-0.47767293,-0.17421532,Subtype_1
T1D-15,T1D,-0.24284226,0.3532914,-0.18954143,-0.66027534,-0.8502598,0.5876574,0.32469642,0.346202,0.64254355,-0.1335762,0.5593607,-0.917472,0.09089985,0.10000412,-0.06480249,0.029046778,0.3603855,-0.33808318,0.37714085,-0.6174517,-0.09980722,0.1361306,-0.11495278,0.35012996,0.5305421,-0.38037637,-0.39588094,-0.106791094,-0.28478083,-0.24907206,Subtype_1
T1D-153,T1D,0.23282629,-0.07759586,-0.41080138,-0.32394293,1.4155703,-0.45441172,0.4591255,0.042894647,-0.48343268,-0.059792873,0.14329153,0.4853374,-1.0994445,-0.3998272,-0.07466317,-0.31810778,0.50635105,0.3582036,0.031028474,0.7696784,-0.0936923,0.115958594,-0.69137007,-0.5910708,-0.26527482,0.23952372,-0.5804142,-0.4016901,-0.106910594,0.13546431,Subtype_3
T1D-156,T1D,-0.13230264,-0.78336453,-0.5351273,0.25274336,1.1527423,-0.09644318,-0.6817641,0.45173576,-0.046238992,0.59082985,-0.20231342,0.87221473,-0.63276255,-0.4670029,-0.014804587,-0.20259634,0.69781834,-0.3348038,0.26703563,0.039008297,0.77019274,-0.07518687,-0.02569738,-0.30929694,0.15257724,0.39933512,-0.018378997,-0.08114858,-0.35210347,0.18939856,Subtype_3
T1D-158,T1D,-0.28469634,-0.57867557,-0.19311932,-0.17500798,0.90216976,-0.09250088,-0.24433489,0.8079218,-0.510378,-0.21428598,0.57643723,1.2054371,-0.3366215,-0.48829243,-0.31035724,-0.36308473,-0.35725844,0.050801903,0.3292702,-0.16004454,0.48917577,-0.10609048,0.32095164,0.55867726,-0.030711262,-0.28247043,-0.09018046,0.27033442,0.018423267,-0.3020043,Subtype_3
T1D-170,T1D,-0.7067085,0.16510619,-0.839677,-0.0025256139,0.8245201,0.2373306,0.14127675,0.58841944,-0.032739848,-0.08545917,0.7390969,0.60959816,-0.46766973,0.2604242,0.27523002,-0.35973033,0.91127616,-0.34398192,0.4873039,-0.090689786,-0.13251467,0.36725104,0.11824073,0.5309359,0.6867711,-1.021283,0.42638078,-0.3215331,-0.44923514,0.07508239,Subtype_3
T1D-174,T1D,0.6301148,-0.684427,-0.72556865,-0.4836576,1.3771389,-0.12573393,0.9398338,0.25846168,-0.99485856,-0.3881288,0.87507164,0.15599258,-0.5555133,0.31068265,-0.8432954,-0.81975347,-0.10384542,-0.14110789,-0.373749,-0.29362115,0.14225657,0.32700396,-0.53573,-0.017839177,-0.25154287,0.23680036,-0.52696407,-0.290131,0.433327,-0.008772197,Subtype_3
T1D-2,T1D,0.20175247,0.53720546,-0.44162688,0.75424266,-0.36993295,0.8781184,-0.42766273,0.6455022,0.13434619,0.15414153,0.2698318,0.31428126,-0.012915557,0.43887147,0.7111463,0.045863383,0.08091937,-0.13855858,0.21293075,-0.02334312,0.21828231,0.2801287,-0.16519111,0.342621,0.523763,0.08209075,0.35345903,0.35125473,-0.2834167,0.3032564,Subtype_1
T1D-21,T1D,-0.20865457,-0.0283427,-0.37701797,0.5473523,0.12566416,0.49824804,-0.3103729,0.1682321,-0.72777635,0.5736756,-0.24186179,0.27370593,0.13606444,0.64155763,0.2886196,-0.35932583,0.80099857,-0.082725875,-0.5690956,0.15436357,0.543653,0.26643965,0.2617754,-0.27620494,-0.33731297,0.31828028,0.071513176,0.110635616,-0.2764971,-0.19043878,Subtype_3
T1D-25,T1D,-0.23848778,1.1889104,0.12396745,-0.055020574,0.09783907,0.23827937,-0.28085726,0.26734036,0.18275754,-0.99512446,-0.8489378,0.36137995,0.8994865,-0.3027251,0.08543954,0.129117,-0.042728372,0.65039,-0.06490651,-0.7538616,0.24617557,-0.1172491,-0.22943072,-0.046832662,0.5971134,-0.40743005,0.5941509,-0.21482156,-0.5119767,0.40440053,Subtype_1
T1D-28,T1D,-0.7033876,0.004098637,-0.011580396,1.0024326,-0.28844476,0.7077919,-0.1986228,0.56044954,-0.12864247,0.11853953,0.08973534,0.41676334,-0.30223513,-0.024219783,0.25094062,0.3432853,-0.35285395,-0.16435364,-0.51969147,0.72786176,0.3270386,-0.3469642,0.16160628,-0.26144052,0.1699063,-0.55977064,0.34658593,-0.2311892,0.00021794197,0.122854605,Subtype_3
